City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bathsheba,13.22,-59.52,80.6,83,20,8.05,BB,1599525131
Ahualulco del Sonido Trece,22.4,-101.17,73.4,46,75,6.93,MX,1599525131
Novy Urengoy,66.08,76.63,47.68,67,70,5.44,RU,1599525132
Laguna,38.42,-121.42,104.0,15,75,3.36,US,1599525132
Hamilton,39.18,-84.53,81.0,69,1,5.82,US,1599525131
Portland,45.52,-122.68,87.01,31,0,7.0,US,1599525045
Tandil,-37.32,-59.13,42.91,80,7,6.85,AR,1599524931
Kondopoga,62.21,34.26,42.8,100,32,3.42,RU,1599525133
Salatiga,-7.33,110.49,80.6,88,4,4.7,ID,1599525133
Luk Pu,23.17,112.28,84.99,99,100,2.13,CN,1599525134
Wanning,18.8,110.4,86.02,76,100,7.09,CN,1599525134
Trelew,-43.25,-65.31,60.21,41,100,21.65,AR,1599525135
La Antigua,6.72,-76.08,60.31,97,100,2.55,CO,1599525135
Kaniama,-7.57,24.18,70.99,51,33,1.52,CD,1599525135
Raudeberg,61.99,5.14,53.01,91,100,34.02,NO,1599525136
Río Cuarto,-33.13,-64.35,50.0,71,0,11.41,AR,1599525136
Champerico,14.3,-91.92,77.0,94,90,4.7,GT,1599525137
Ostrovnoy,68.05,39.51,49.5,86,99,12.53,RU,1599525137
Yar-Sale,66.83,70.83,49.55,68,100,10.71,RU,1599524773
Youkounkoun,12.53,-13.13,73.45,97,100,5.35,GN,1599525138
Lindsay,36.2,-119.09,102.2,27,1,4.7,US,1599525138
Olafsvik,64.89,-23.71,46.53,80,96,12.86,IS,1599525139
Atasū,48.68,71.64,48.47,69,5,5.44,KZ,1599525139
Innisfail,-17.53,146.03,66.0,93,33,8.01,AU,1599525139
Saint-Ambroise,48.55,-71.33,69.8,64,90,12.75,CA,1599525140
Pontianak,-0.03,109.33,77.09,92,95,4.27,ID,1599525140
Mount Isa,-20.73,139.5,80.6,30,0,16.11,AU,1599525071
Vila,42.03,-8.16,71.6,49,48,4.7,PT,1599525141
Gewanē,10.17,40.65,80.26,55,27,12.59,ET,1599525142
Parintins,-2.63,-56.74,79.32,69,36,0.6,BR,1599525142
Auki,-8.77,160.7,84.9,68,37,4.79,SB,1599525143
Cidreira,-30.18,-50.21,58.12,95,100,14.79,BR,1599524536
Quijingue,-10.75,-39.21,67.71,94,48,7.43,BR,1599525143
Malbork,54.04,19.03,48.99,100,19,8.46,PL,1599525143
Meulaboh,4.14,96.13,77.92,86,100,2.53,ID,1599525144
Palma de Mallorca,39.57,2.65,64.0,88,8,3.36,ES,1599525144
Kristiansund,63.11,7.73,53.6,81,95,33.33,NO,1599524947
Mukhtolovo,55.46,43.2,57.31,59,98,7.25,RU,1599525145
Jhang,33.67,72.7,73.99,94,0,3.78,PK,1599525145
Lüderitz,-26.65,15.16,63.19,55,0,4.92,NA,1599525146
Altus,34.64,-99.33,89.6,33,1,10.29,US,1599524901
Manzanillo,20.34,-77.12,75.7,90,100,8.08,CU,1599525146
Fort Nelson,58.81,-122.7,62.6,45,90,4.7,CA,1599525147
Khani,41.96,42.96,68.0,94,40,3.36,GE,1599525147
Gravdal,68.12,13.5,52.61,83,100,21.88,NO,1599525147
Miastko,54.0,16.98,48.99,90,99,10.0,PL,1599525148
Mogocha,53.73,119.77,65.79,61,0,3.33,RU,1599525148
Nosy Varika,-20.58,48.53,65.26,91,13,6.24,MG,1599525149
Mossamedes,-15.2,12.15,66.4,89,0,2.75,AO,1599525149
La Libertad,-2.23,-80.9,73.4,78,75,13.87,EC,1599525150
Pochutla,15.74,-96.47,77.0,88,70,4.0,MX,1599525150
Węgrów,52.4,22.02,51.01,74,0,5.77,PL,1599525150
Wukari,7.85,9.78,72.57,97,100,3.33,NG,1599525151
Kincardine,56.07,-3.72,57.99,87,75,11.41,GB,1599525151
Ust'-Ilimsk,58.0,102.66,54.14,82,100,3.98,RU,1599525151
Eenhana,-17.47,16.33,73.4,27,0,8.05,NA,1599525152
Vaitape,-16.52,-151.75,78.84,76,0,13.27,PF,1599525152
Jieshou,33.26,115.36,79.72,60,0,3.51,CN,1599525153
Isla Mujeres,21.23,-86.73,82.4,78,40,3.36,MX,1599525154
Capreol,46.71,-80.92,55.0,66,75,6.93,CA,1599525154
Atar,20.52,-13.05,92.23,39,96,7.54,MR,1599525154
Ratnagiri,16.98,73.3,77.61,87,100,4.72,IN,1599525155
Kutum,14.2,24.67,70.83,69,100,14.07,SD,1599525155
Bonthe,7.53,-12.51,76.41,90,100,7.7,SL,1599525155
Fethiye,36.62,29.12,71.6,78,0,3.36,TR,1599525156
Brae,60.4,-1.35,53.6,93,99,23.04,GB,1599525156
Gorom-Gorom,14.44,-0.24,80.56,69,0,14.32,BF,1599525157
Eureka,40.8,-124.16,66.0,77,1,8.05,US,1599525101
Megion,61.03,76.11,41.0,93,20,6.78,RU,1599525157
Dillon,34.42,-79.37,72.0,82,1,6.46,US,1599525158
Preobrazheniye,42.9,133.91,68.05,86,99,16.69,RU,1599525158
Faanui,-16.48,-151.75,77.99,78,0,13.4,PF,1599525158
Kahramanmaraş Province,38.0,37.0,77.0,65,0,4.7,TR,1599525159
Kalmunai,7.42,81.82,81.09,74,100,2.15,LK,1599525131
Kokopo,-4.35,152.26,86.04,65,0,10.42,PG,1599525159
Estelle,29.85,-90.11,86.0,70,1,5.82,US,1599525160
Kisangani,0.52,25.2,69.33,97,13,1.63,CD,1599525160
Standerton,-26.93,29.24,48.99,86,0,4.72,ZA,1599525160
Hobyo,5.35,48.53,75.58,81,100,19.69,SO,1599525161
Pedernales,18.04,-71.74,82.4,83,40,11.41,DO,1599525161
Rahimatpur,17.6,74.2,73.96,87,100,1.81,IN,1599525162
Bayir,37.27,28.22,66.2,77,0,3.51,TR,1599525163
Ilulissat,69.22,-51.1,37.4,86,72,9.17,GL,1599525163
São José da Coroa Grande,-8.9,-35.15,73.92,77,0,7.4,BR,1599525163
Aquin,18.28,-73.4,80.49,74,100,2.51,HT,1599525164
Aloleng,16.13,119.78,84.09,75,51,6.31,PH,1599525164
Wanxian,30.8,108.39,81.57,64,13,3.69,CN,1599525164
Hatillo,18.49,-66.83,75.99,93,13,4.0,PR,1599525165
Virovitica,45.83,17.38,61.0,78,0,2.89,HR,1599525165
Taft,31.75,54.21,73.4,20,0,4.7,IR,1599525166
Quatre Cocos,-20.21,57.76,72.0,100,20,4.7,MU,1599525166
Marshalltown,42.05,-92.91,63.0,51,90,13.87,US,1599525166
Henties Bay,-22.12,14.28,55.99,93,0,3.0,NA,1599525167
Gaspé,48.83,-64.48,66.2,59,90,9.17,CA,1599525167
Ulladulla,-35.35,150.47,71.6,46,99,6.93,AU,1599525168
Hong Kong,22.29,114.16,81.0,93,95,4.88,HK,1599525168
Nador,35.17,-2.93,75.2,83,20,8.05,MA,1599525169
Rovaniemi,66.5,25.72,48.2,100,90,10.29,FI,1599525001
Flinders,-34.58,150.86,64.99,67,76,17.0,AU,1599525169
Plavsk,53.71,37.29,61.18,41,100,12.59,RU,1599525169
Umluj,25.02,37.27,90.1,41,0,8.93,SA,1599525170
Mehamn,71.04,27.85,48.27,84,3,10.33,NO,1599525170
Colares,38.8,-9.45,73.0,30,0,8.99,PT,1599525170
Province of Mantua,45.17,10.78,66.99,86,14,6.26,IT,1599525064
Chebarkul',54.97,60.36,50.43,93,31,3.4,RU,1599525171
Tromsø,69.65,18.96,46.4,87,40,33.33,NO,1599525172
Los Boquerones,8.08,-80.85,75.54,91,100,6.46,PA,1599525172
Qaqortoq,60.72,-46.03,42.8,87,55,1.12,GL,1599525173
Beringovskiy,63.05,179.32,48.27,60,0,11.65,RU,1599525183
Miles City,46.41,-105.84,46.4,75,90,13.87,US,1599525183
San Cristobal,7.77,-72.22,84.2,58,40,5.82,VE,1599525184
Kanniyākumāri,8.08,77.57,79.77,82,82,13.82,IN,1599525184
Dali,25.7,100.18,65.52,76,95,1.52,CN,1599525184
Elblag,54.15,19.41,48.99,90,4,8.14,PL,1599525185
Minudasht,37.23,55.37,69.8,60,79,4.18,IR,1599525185
Sartana,47.17,37.7,66.99,100,0,5.99,UA,1599525186
Tahe,52.33,124.73,62.08,70,100,5.46,CN,1599525186
Saldus,56.66,22.49,47.32,95,0,5.55,LV,1599525186
Pangkalanbuun,-2.68,111.62,79.84,87,100,4.72,ID,1599525187
Sokolo,14.73,-6.12,78.76,72,29,1.86,ML,1599525187
Marsaxlokk,35.84,14.54,78.01,94,20,1.12,MT,1599525188
Roald,62.58,6.13,55.4,76,95,24.16,NO,1599525188
Muros,42.78,-9.06,64.99,67,26,3.0,ES,1599524776
Antofagasta,-23.65,-70.4,55.4,76,90,8.05,CL,1599525189
Akdepe,42.06,59.38,55.4,40,26,6.93,TM,1599525189
Lagos,6.58,3.75,77.0,88,20,3.36,NG,1599525016
Carupano,10.67,-63.26,79.18,84,100,6.31,VE,1599525190
Atbasar,51.8,68.33,42.1,90,2,5.14,KZ,1599525190
Celestún,20.87,-90.4,82.18,77,64,12.55,MX,1599525190
Opuwo,-18.06,13.84,60.1,53,0,4.63,NA,1599525191
Pāsighāt,28.07,95.33,75.85,87,100,1.54,IN,1599525191
Bridlington,54.08,-0.19,63.0,93,11,6.93,GB,1599525192
Skjervøy,70.03,20.97,52.2,73,100,17.9,NO,1599525192
Havøysund,71.0,24.66,53.6,66,100,14.99,NO,1599525192
Evensk,61.95,159.23,50.27,68,100,22.19,RU,1599525193
Boa Vista,2.82,-60.67,77.0,83,75,3.36,BR,1599525193
Kerema,-7.96,145.78,83.82,73,14,6.15,PG,1599525193
Ayní,39.39,68.54,60.04,34,0,4.21,TJ,1599525194
Batagay,67.63,134.63,45.82,78,100,4.32,RU,1599525194
Makakilo City,21.35,-158.09,87.8,58,75,11.41,US,1599525195
Itaituba,-4.28,-55.98,82.2,51,84,0.74,BR,1599525156
Kirakira,-10.45,161.92,82.89,76,100,8.25,SB,1599525195
Goshen,41.58,-85.83,73.4,60,75,10.29,US,1599524991
Roebourne,-20.78,117.13,86.72,26,0,6.58,AU,1599525196
Rio Grande,-32.03,-52.1,57.99,88,7,1.99,BR,1599524970
Talaya,61.38,152.75,44.92,79,100,8.48,RU,1599525196
Westport,41.14,-73.36,73.4,73,20,6.93,US,1599525036
Los Llanos de Aridane,28.66,-17.92,84.2,21,82,9.17,ES,1599525197
Maniitsoq,65.42,-52.9,40.37,71,91,6.76,GL,1599525197
Bucerías,20.75,-105.33,84.2,79,90,8.05,MX,1599525198
Bud,39.45,-86.18,80.6,69,75,8.05,US,1599525198
Kemijärvi,66.71,27.43,44.19,96,80,5.79,FI,1599525199
Kikwit,-5.04,18.82,76.62,63,0,1.92,CD,1599525199
Zambezi,-13.54,23.1,60.26,30,0,7.94,ZM,1599525199
Bara,10.37,10.73,73.02,91,97,5.99,NG,1599525207
Madingou,-4.15,13.55,72.7,83,4,4.43,CG,1599525212
Bacalar,18.67,-88.38,84.2,70,40,6.93,MX,1599525218
Garissa,-0.45,39.64,71.06,83,14,14.29,KE,1599525225
Dingle,11.0,122.67,84.83,75,100,4.12,PH,1599525231
Kudahuvadhoo,2.67,72.89,82.92,78,93,14.0,MV,1599525242
Okhotsk,59.38,143.3,60.98,52,0,16.4,RU,1599525242
Pacific Grove,36.62,-121.92,93.0,21,1,6.93,US,1599525242
Sørland,67.67,12.69,52.9,87,100,30.58,NO,1599525243
Gulu,2.77,32.3,61.47,98,100,3.87,UG,1599525243
Reyes,-14.32,-67.38,74.79,86,100,2.64,BO,1599525244
Port-Cartier,50.03,-66.87,54.0,100,90,6.93,CA,1599525244
Toktogul,41.87,72.94,58.42,36,3,1.07,KG,1599525245
Bima,-8.47,118.72,86.7,54,10,4.21,ID,1599525245
Santiago del Estero,-27.8,-64.26,64.22,53,80,6.96,AR,1599525074
Yabēlo,4.88,38.08,58.15,86,66,6.8,ET,1599525246
Sampang,-7.19,113.24,82.09,72,34,9.1,ID,1599525246
Antigonish,45.62,-62.0,62.01,84,0,9.55,CA,1599525247
